,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,145.42,1.0,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.1,25.0,146.11,80.0,146.79,20.0,146.8,4.0,147.0,51.6579,147.22,20.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705,149.0,163.022497
1,145.42,1.0,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.1,25.0,146.11,80.0,146.79,20.0,146.8,4.0,147.0,51.6579,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
2,145.42,1.0,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.1,25.0,146.11,80.0,146.79,20.0,146.8,4.0,147.0,51.6579,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
3,145.42,1.0,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.1,25.0,146.11,80.0,146.79,20.0,146.8,4.0,147.0,51.6579,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
4,145.42,1.0,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.1,25.0,146.11,80.0,146.79,20.0,146.8,4.0,147.0,51.6579,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
5,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.1,25.0,146.11,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.0,51.6579,147.13,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
6,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.1,25.0,146.11,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.0,51.6579,147.13,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
7,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.1,25.0,146.11,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.0,51.6579,147.13,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
8,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.1,25.0,146.11,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.0,51.6579,147.13,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
9,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.1,25.0,146.11,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.0,51.6579,147.17,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
